Date,Open,High,Low,Close,Volume,Adj Close
2009-10-26,230.65,231.39,218.00,219.02,2222400,216.86
2009-10-19,224.00,232.25,221.87,229.96,1181500,227.69
2009-10-12,218.56,227.23,214.14,223.87,1628000,221.66
2009-10-05,200.51,215.45,197.85,214.42,2173200,212.30
2009-09-28,205.37,212.87,196.95,199.69,2064800,197.57
2009-09-21,222.91,225.83,204.06,204.70,1926800,202.53
2009-09-14,207.45,223.57,206.32,223.57,2471900,221.20
2009-09-08,208.10,212.88,206.00,208.81,1241400,206.59
2009-08-31,202.08,207.18,199.05,206.05,1264900,203.86
2009-08-24,208.05,211.10,203.00,203.57,1177100,201.41
2009-08-17,196.00,208.07,195.35,207.25,1104400,205.05
2009-08-10,204.79,206.94,200.30,202.61,1188400,200.46
2009-08-03,196.21,206.00,195.51,204.34,1478800,202.17
2009-07-27,187.94,209.27,184.38,194.03,3148500,191.97
2009-07-20,180.52,189.10,178.00,185.47,1865500,183.50
2009-07-13,160.56,181.25,160.49,179.84,1799400,177.93
2009-07-06,165.00,167.37,158.57,160.56,1820200,158.86
2009-06-29,169.49,169.49,162.53,166.28,1480300,164.36
2009-06-22,161.15,168.91,155.51,168.91,2308800,166.96
2009-06-15,165.25,168.39,160.17,161.35,2356100,159.49
2009-06-08,166.31,175.88,164.40,167.06,3518800,165.13
2009-06-01,177.50,179.00,162.25,167.68,2964500,165.75
2009-05-26,167.00,176.33,165.27,176.33,1858700,174.30
2009-05-18,174.66,176.49,166.45,168.36,3196800,166.42
2009-05-11,181.60,184.69,169.22,173.13,2490400,171.13
2009-05-04,176.75,186.75,171.67,185.08,3401400,182.94
2009-04-27,168.16,188.77,162.70,172.90,5653900,170.90
2009-04-20,159.76,173.10,149.34,173.09,3695500,171.09
2009-04-13,170.10,176.62,157.66,163.06,3512800,161.18
2009-04-06,171.60,177.45,163.80,172.46,2873900,170.47
2009-03-30,164.34,174.05,157.15,174.05,3620500,171.89
2009-03-23,158.50,171.41,155.71,167.47,2835000,165.39
2009-03-16,160.00,165.28,152.51,155.53,2764700,153.60
2009-03-09,140.25,160.23,139.56,158.31,2986300,156.34
2009-03-02,154.77,158.70,139.16,142.44,3892700,140.67
2009-02-23,160.50,165.96,151.22,158.03,4409300,156.07
2009-02-17,158.00,162.00,150.43,158.01,3519900,156.05
2009-02-09,162.24,168.88,155.15,161.90,3429100,159.89
2009-02-02,133.61,164.63,130.27,162.50,4749300,160.48
2009-01-26,124.44,139.55,121.56,135.78,2561600,134.09
2009-01-20,126.19,132.38,117.06,125.45,4137000,123.89
2009-01-12,147.73,151.62,120.16,128.22,4803200,126.63
2009-01-05,149.55,165.00,147.29,150.04,3009800,148.17
2008-12-29,140.02,150.70,135.08,149.78,1937300,147.78
2008-12-22,152.98,152.98,139.21,140.93,1118300,139.05
2008-12-15,137.91,158.00,135.00,152.34,2646200,150.31
2008-12-08,143.94,151.50,132.10,138.81,2839400,136.96
2008-12-01,140.97,141.59,127.66,140.12,3256900,138.25
2008-11-24,128.33,148.80,122.30,145.30,3396900,143.36
2008-11-17,141.40,145.56,113.05,126.54,5177100,124.85
2008-11-10,150.50,153.60,128.09,143.68,3693100,141.76
2008-11-03,149.04,171.97,138.55,147.73,6874100,145.76
2008-10-27,127.63,148.71,123.50,147.82,3929100,145.85
2008-10-20,160.26,161.79,120.02,130.62,4385500,128.88
2008-10-13,160.45,184.30,143.72,156.75,4659200,154.66
2008-10-06,151.16,174.33,140.00,151.71,5946300,149.68
2008-09-29,179.99,181.84,150.60,160.20,5184600,157.91
2008-09-22,225.00,225.25,178.28,185.07,4098000,182.43
2008-09-15,213.06,239.00,182.07,225.18,6049300,221.96
2008-09-08,230.36,231.00,205.20,223.82,3586300,220.62
2008-09-02,245.88,248.00,207.93,221.44,3766500,218.28
2008-08-25,240.04,243.40,231.57,242.55,1548800,239.09
2008-08-18,240.55,244.90,233.20,241.64,1967300,238.19
2008-08-11,232.57,240.35,227.91,238.95,2402900,235.54
2008-08-04,232.99,240.00,221.00,232.13,3918600,228.81
2008-07-28,264.90,272.00,225.49,237.27,7572500,233.88
2008-07-21,284.14,284.65,254.53,263.55,4220400,259.79
2008-07-14,263.00,290.96,242.70,280.86,7438100,276.85
2008-07-07,256.79,264.99,237.42,257.35,4645900,253.67
2008-06-30,273.00,276.50,250.50,253.74,3174800,249.97
2008-06-23,285.53,295.16,267.04,271.72,3565400,267.69
2008-06-16,291.99,299.84,283.01,284.01,2056200,279.80
2008-06-09,297.10,298.86,276.41,292.46,3152700,288.12
2008-06-02,309.26,320.00,294.54,295.73,5720700,291.34
2008-05-27,274.01,320.30,272.83,308.65,5897300,304.07
2008-05-19,283.51,286.05,270.45,273.22,2034500,269.17
2008-05-12,286.56,295.20,280.60,283.40,1926500,279.19
2008-05-05,282.12,301.43,282.02,286.85,2554900,282.59
2008-04-28,239.31,298.40,235.57,285.04,6041500,280.81
2008-04-21,234.67,245.25,231.02,237.39,1616700,233.87
2008-04-14,227.52,239.22,219.85,233.71,2226400,230.24
2008-04-07,228.94,236.19,225.24,228.60,2024500,225.21
2008-03-31,218.00,233.75,214.77,226.57,2476900,223.06
2008-03-24,222.30,230.35,214.75,217.60,3107100,214.23
2008-03-17,201.90,222.46,193.03,220.38,6032500,216.97
2008-03-10,192.12,215.40,183.58,208.65,4695900,205.42
2008-03-03,188.30,195.90,185.01,192.51,3145000,189.53
2008-02-25,201.35,202.00,187.25,190.00,3691200,187.06
2008-02-19,208.01,210.45,198.00,203.48,2844000,200.33
2008-02-11,207.08,214.58,197.12,206.00,2583000,202.81
2008-02-04,215.00,222.25,195.16,205.61,3835600,202.42
2008-01-28,190.40,218.45,184.29,215.42,5218700,212.08
2008-01-22,164.01,196.00,160.82,193.43,4407300,190.43
2008-01-14,180.55,181.90,169.61,174.62,4750000,171.91
2008-01-07,201.71,207.70,176.25,179.17,5596500,176.39
2007-12-31,210.13,220.29,198.44,201.19,2517300,197.92
2007-12-24,212.00,215.96,207.00,210.00,1326700,206.59
2007-12-17,216.57,217.00,197.50,212.35,4297800,208.90
2007-12-10,211.00,227.18,210.99,216.56,4964600,213.04
2007-12-03,200.00,211.75,194.51,209.60,3159100,206.20
2007-11-26,183.75,206.43,179.50,200.65,3590900,197.39
2007-11-19,182.87,187.31,175.58,181.10,1969900,178.16
2007-11-12,190.83,196.42,179.50,184.87,2824300,181.87
2007-11-05,185.61,203.00,182.31,193.00,5217100,189.87
2007-10-29,159.10,198.55,153.68,190.04,7902900,186.95
2007-10-22,149.99,159.68,143.15,157.03,4917400,154.48
2007-10-15,163.21,163.65,150.36,151.60,2199500,149.14
2007-10-08,163.00,169.32,158.21,163.21,2692700,160.40
2007-10-01,147.73,164.87,147.73,162.46,3235400,159.67
2007-09-24,147.50,152.23,138.85,147.97,4115100,145.43
2007-09-17,137.44,152.00,135.00,146.56,3047700,144.04
2007-09-10,130.72,142.36,126.63,137.85,2337500,135.48
2007-09-04,138.27,139.90,129.54,130.21,1906900,127.97
2007-08-27,138.43,140.91,130.01,136.99,2844000,134.64
2007-08-20,139.57,146.00,136.31,139.83,2539400,137.43
2007-08-13,142.50,143.13,120.00,137.00,4597200,134.65
2007-08-06,132.11,150.00,123.46,138.40,5722600,136.02
2007-07-30,156.46,170.52,128.17,131.26,6478200,129.00
2007-07-23,165.50,169.00,152.00,154.03,2947400,151.38
2007-07-16,168.00,172.82,162.65,165.28,2895900,162.44
2007-07-09,162.00,174.60,155.58,169.21,3923400,166.30
2007-07-02,165.50,167.49,159.55,161.90,1943400,159.12
2007-06-25,169.00,169.00,157.80,165.87,3211500,163.02
2007-06-18,159.41,169.40,158.18,168.43,5566900,165.38
2007-06-11,144.16,158.24,140.07,157.65,4571600,154.80
2007-06-04,150.02,151.72,135.18,143.58,4085600,140.98
2007-05-29,141.95,153.31,141.02,151.10,4761500,148.37
2007-05-21,137.25,143.56,136.85,139.07,2627200,136.56
2007-05-14,138.84,139.59,133.53,138.05,2466400,135.55
2007-05-07,134.30,143.24,132.90,138.83,4566000,136.32
2007-04-30,114.25,135.95,111.01,134.66,7263500,132.23
2007-04-23,110.00,114.66,107.64,114.10,1770300,112.04
2007-04-16,110.00,110.88,108.20,110.10,956300,108.11
2007-04-09,108.40,111.40,107.20,109.40,1181200,107.42
2007-04-02,107.10,109.40,105.93,108.01,1445800,106.06
2007-03-26,108.70,109.25,105.75,106.24,1239300,104.17
2007-03-19,105.52,112.32,105.52,109.86,1939800,107.72
2007-03-12,102.01,106.20,101.39,105.27,2756800,103.22
2007-03-05,101.15,104.71,99.28,102.36,4224300,100.37
2007-02-26,104.82,107.90,99.99,103.06,3089900,101.06
2007-02-20,108.32,109.25,103.72,104.57,2316200,102.54
2007-02-12,101.97,109.12,98.61,108.32,5197300,106.21
2007-02-05,110.50,118.07,99.63,103.60,7225200,101.59
2007-01-29,109.00,112.98,108.70,110.96,1291100,108.80
2007-01-22,105.99,113.08,104.50,108.52,2267500,106.41
2007-01-16,105.30,110.22,101.80,105.03,3419400,102.99
2007-01-08,99.01,108.03,99.00,105.25,2879200,103.20
2007-01-03,99.55,102.20,95.30,101.06,2764800,99.01
2006-12-26,96.50,99.79,94.38,98.49,1587100,96.49
2006-12-18,96.00,99.45,90.50,96.35,2610000,94.40
2006-12-11,100.10,102.24,94.27,96.19,2685900,94.24
2006-12-04,101.00,102.25,98.50,100.10,2187000,98.07
2006-11-27,106.00,108.60,95.50,101.17,5212200,99.12
2006-11-20,93.98,105.85,93.72,105.48,3666100,103.34
2006-11-13,93.71,99.65,92.06,94.79,5469100,92.87
2006-11-06,90.00,97.14,87.76,89.20,6486100,87.39
2006-10-30,72.62,89.75,71.75,89.51,5993900,87.70
2006-10-23,71.35,74.00,69.00,72.64,1502800,71.17
2006-10-16,70.00,72.90,69.27,71.22,918100,69.78
2006-10-09,71.90,73.25,68.28,70.09,2515300,68.67
2006-10-02,70.35,75.85,68.40,75.15,2179400,73.63
2006-09-25,65.25,70.45,62.20,70.35,2574600,68.83
2006-09-18,65.74,69.60,64.30,65.93,2266600,64.51
2006-09-11,59.75,65.20,59.60,64.97,1574700,63.57
2006-09-05,56.90,61.25,56.25,59.75,1550900,58.46
2006-08-28,54.85,57.50,54.77,56.55,806800,55.33
2006-08-21,53.30,55.85,52.80,55.00,922400,53.82
2006-08-14,53.75,55.43,52.46,53.45,995400,52.30
2006-08-07,50.50,54.50,50.25,53.68,1076700,52.52
2006-07-31,46.30,51.50,44.70,50.05,2025600,48.97
2006-07-24,45.45,47.85,44.99,46.30,652000,45.30
2006-07-17,43.91,45.78,43.67,45.28,1042400,44.30
2006-07-10,46.20,46.57,43.90,43.95,940300,43.00
2006-07-03,47.90,48.00,45.75,46.12,919300,45.13
2006-06-26,46.95,48.09,46.43,48.00,1351600,46.97
2006-06-19,45.45,47.93,43.47,46.95,1558600,45.94
2006-06-12,48.00,48.25,44.44,45.02,1519700,44.05
2006-06-05,47.05,50.63,45.50,47.78,3178600,46.75
2006-05-30,44.97,48.70,42.85,46.99,4484600,45.98
2006-05-25,40.30,46.74,40.20,44.93,24911400,43.96
